良い	いい|よい	ii|yoi
必要	ひつよう	hitsuyou
以上	いじょう	ijou
無い	ない	nai
登録	とうろく	touroku
最近	さいきん	saikinn
関係	かんけい	kannkei
好き	すき|こうき|よき|ずき	suki|kouki|yoki|zuki
に関する	にかんする	nikannsuru
参加	さんか	sannka
方法	ほうほう	houhou
お願い	おねがい	onegai
管理	かんり	kannri
続く	つづく	tsuduku
無料	むりょう	muryou
料理	りょうり	ryouri
関連	かんれん	kannrenn
変わる	かわる	kawaru
説明	せつめい	setsumei
最後	さいご	saigo
追加	ついか	tsuika
以下	いか	ika
案内	あんない	annnai
以外	いがい	igai
初めて	はじめて	hajimete
周辺	しゅうへん	shuuhenn
特に	とくに	tokuni
続ける	つづける	tsudukeru
予約	よやく	yoyaku
求人	きゅうじん	kyuujinn
不動産	ふどうさん	fudousann
最初	さいしょ	saisho
最新	さいしん	saishinn
昨日	きのう|さくじつ	kinou|sakujitsu
選手	せんしゅ	sennshu
目的	もくてき	mokuteki
大変	たいへん	taihenn
観光	かんこう	kannkou
求める	もとめる	motomeru
体験	たいけん	taikenn
作成	さくせい	sakusei
選ぶ	えらぶ	erabu
置く	おく	oku
友達	ともだち	tomodachi
以前	いぜん	izenn
機関	きかん	kikann
特別	とくべつ	tokubetsu
重要	じゅうよう	juuyou
試合	しあい|じあい|しあう	shiai|jiai|shiau
付け	つけ|づけ	tsuke|duke
残る	のこる	nokoru
付き	つき|づき	tsuki|duki
種類	しゅるい	shurui
料金	りょうきん	ryoukinn
最高	さいこう	saikou
法人	ほうじん	houjinn
記念	きねん	kinenn
特定	とくてい	tokutei
参考	さんこう	sannkou
送料	そうりょう	souryou
必ず	かならず	kanarazu
変える	かえる	kaeru
完全	かんぜん	kannzenn
国民	こくみん|くにたみ	kokuminn|kunitami
結局	けっきょく	kekkyoku
最大	さいだい	saidai
協力	きょうりょく	kyouryoku
大好き	だいすき	daisuki
変化	へんか|へんげ	hennka|hennge
最終	さいしゅう	saishuu
市民	しみん	shiminn
